hour,temperature,humidity,windspeed,bike_count
4,10,50,23,0
8,34,52,7,69
23,38,72,14,91
2,20,84,23,0
16,17,45,13,37
2,19,76,24,0
15,34,82,17,22
3,16,89,11,0
17,12,44,18,29
16,12,54,13,16
6,27,65,23,0
23,14,40,19,62
22,21,80,24,0
4,21,44,18,0
11,28,33,10,66
16,39,50,8,109
22,15,42,12,74
12,11,51,21,0
22,21,48,13,84
2,28,63,5,0
8,14,43,24,0
16,21,33,18,73
16,36,77,15,39
19,36,82,7,69
15,26,81,13,1
21,38,75,18,63
12,26,56,13,38
18,19,58,8,75
16,34,76,8,48
3,32,57,12,13
11,26,64,6,21
8,24,37,13,30
18,21,45,18,67
11,39,71,13,28
8,25,65,20,0
6,33,59,21,0
13,28,47,20,45
19,17,31,16,72
18,30,78,7,52
14,26,42,15,55
15,32,33,18,93
20,14,55,22,0
4,31,54,9,6
2,25,59,20,0
11,15,40,24,0
19,17,36,9,88
20,34,60,7,89
3,27,73,16,0
20,34,39,5,128
22,21,68,13,43
15,24,42,13,63
6,36,60,8,29
12,35,36,7,108
20,18,85,21,0
9,22,78,6,0
6,35,71,5,29
13,24,71,12,0
4,19,85,17,0
2,25,65,19,0
22,16,49,12,78
10,26,33,16,58
10,32,83,16,17
17,35,36,18,113
14,30,83,19,0
11,31,30,19,71
8,35,73,13,0
9,16,85,23,0
11,23,74,24,0
16,24,71,12,10
5,30,76,23,0
6,16,88,10,0
13,18,42,24,1
12,28,84,23,0
7,25,51,8,37
9,17,83,11,0
8,27,50,8,34
17,36,51,16,100
1,32,57,17,0
4,38,38,7,55
4,27,55,16,0
5,39,38,6,64
18,29,44,6,114
7,16,39,13,0
15,12,53,5,25
12,27,87,12,0
0,36,86,10,0
21,19,71,10,39
19,16,37,22,50
16,26,53,21,40
6,23,45,16,15
12,33,78,10,11
3,12,55,12,0
3,21,56,23,0
5,37,66,14,0
18,22,33,5,95
11,11,79,17,0
21,12,53,21,35
6,14,48,7,10
9,20,65,12,0
18,17,89,18,0
6,35,68,7,20
2,32,39,20,0
12,32,54,17,39
12,21,47,24,17
17,16,48,21,27
19,24,65,17,22
7,33,39,10,61
8,26,62,21,0
6,13,84,18,0
0,38,79,21,0
2,31,34,12,34
12,34,76,15,24
16,22,78,24,0
23,27,64,5,94
0,10,73,11,0
5,25,63,21,0
20,22,62,14,39
5,19,84,15,0
11,21,50,13,26
12,39,46,13,85
12,11,51,9,0
14,32,77,21,22
20,12,66,13,11
15,19,44,21,9
21,11,64,23,0
20,39,57,11,125
10,36,36,13,71
4,32,61,11,5
3,22,40,17,0
2,22,39,15,0
18,27,38,18,102
19,12,43,23,8
17,36,42,15,89
14,16,86,17,0
8,23,54,18,0
16,29,31,17,97
13,38,64,5,62
14,39,36,12,120
0,26,50,16,0
20,38,47,23,86
21,39,32,16,124
21,30,71,12,49
2,21,83,12,0
15,34,68,17,39
22,25,70,16,61
10,33,78,20,0
11,21,40,5,39
9,24,68,17,0
15,34,53,11,92
7,19,89,9,0
5,39,75,12,2
11,34,48,18,58
23,16,33,17,93
20,29,55,19,51
7,14,67,21,0
3,10,71,19,0
7,39,61,24,9
17,26,68,22,0
4,12,74,22,0
8,22,75,6,0
3,23,65,8,0
21,33,69,5,97
16,39,66,8,91
8,27,62,22,0
0,13,65,9,0
20,27,32,23,88
19,39,38,19,118
12,14,37,12,23
15,34,62,24,36
12,25,88,21,0
13,10,35,5,40
2,30,70,16,0
5,23,68,23,0
17,24,33,19,65
18,18,42,13,55
4,24,78,11,0
14,26,89,6,8
1,34,31,13,33
9,33,89,14,0
23,13,34,6,86
17,21,73,23,0
12,36,56,15,33
4,35,61,17,5
22,14,50,14,51
23,38,37,18,141
0,14,67,22,0
21,20,37,23,65
0,37,79,13,0
17,15,32,11,64
14,16,83,7,0
16,33,73,24,23
10,23,87,10,0
20,33,32,6,140
21,20,51,10,60
16,39,35,7,126
12,22,31,20,41
0,11,52,12,0
1,34,73,6,0
8,16,31,21,0
2,29,67,13,0
0,13,46,16,0
20,36,64,7,114
15,17,63,15,5
22,29,52,5,109
5,38,59,17,6
16,31,81,19,28
4,30,37,9,38
4,28,51,21,0
5,22,73,10,0
2,23,87,15,0
20,19,65,22,22
22,20,34,8,92
4,11,42,7,0
20,34,58,17,95
4,35,60,13,5
9,18,76,10,0
9,26,86,16,0
18,35,84,6,44
16,12,45,7,41
20,33,71,7,81
13,15,59,16,0
8,14,86,19,0
13,14,84,13,0
0,31,45,12,15
18,24,41,15,69
12,32,46,20,34
12,26,45,8,53
3,18,41,5,0
0,12,37,11,0
16,29,49,6,81
7,35,32,9,79
1,26,45,11,0
7,38,59,8,40
6,36,74,9,19
1,19,52,5,0
21,12,57,5,35
21,27,80,19,29
2,27,69,24,0
17,39,83,23,26
11,26,34,14,51
0,33,49,22,0
21,12,69,7,31
11,12,85,15,0
4,15,73,19,0
16,22,30,15,86
15,33,86,21,1
14,38,59,21,42
22,24,50,10,75
14,34,49,9,78
4,18,35,12,7
20,13,51,6,50
13,23,47,20,25
1,14,37,24,0
10,11,68,16,0
18,20,61,10,27
6,18,62,5,0
5,33,82,8,0
1,12,45,21,0
5,36,41,17,39
17,37,67,22,41
1,38,81,9,0
17,18,63,7,26
14,12,43,15,32
18,34,65,17,56
1,11,62,8,0
19,21,52,18,49
5,19,79,15,0
0,18,74,14,0
23,24,31,23,91
14,17,70,22,0
22,34,50,10,109
9,14,31,19,19
18,20,56,14,47
16,36,86,9,41
4,11,38,9,0
3,33,30,14,41
9,37,40,9,88
23,24,32,7,125
16,15,81,10,0
9,17,52,8,1
16,36,55,22,62
19,14,33,13,63
23,25,47,21,70
4,35,84,17,0
1,27,35,19,0
5,15,64,24,0
20,14,51,21,23
1,37,72,17,0
12,25,44,20,37
10,22,51,8,21
10,37,89,9,23
15,14,66,9,18
10,22,81,13,0
18,26,71,21,28
14,27,41,17,48
22,17,76,6,43
22,22,78,17,37
15,39,71,23,30
10,38,67,7,30
21,28,47,14,98
15,35,74,6,58
7,12,64,17,0
3,33,59,23,4
7,17,53,21,0
3,11,71,18,0
23,17,59,16,59
2,36,43,16,15
2,22,35,15,0
17,22,32,11,67
18,10,45,8,30
18,15,36,23,38
20,33,81,5,50
4,28,43,7,19
17,25,38,17,59
9,17,44,19,0
21,37,50,6,134
20,10,64,15,11
5,36,31,8,80
0,36,56,23,0
4,25,31,21,12
8,18,64,7,2
11,22,47,22,7
13,20,43,12,34
1,22,49,23,0
16,34,47,9,91
13,30,39,11,93
12,19,54,12,23
8,13,31,9,22
14,36,54,21,56
21,15,83,9,3
14,37,62,8,79
23,16,65,23,8
10,14,60,6,5
15,20,43,15,38
16,22,30,17,70
3,35,75,19,0
0,34,45,16,9
7,28,83,15,0
16,32,75,11,47
2,19,81,9,0
19,19,32,21,55
14,20,64,24,0
14,30,70,13,44
23,39,35,18,141
21,16,54,16,42
13,27,42,10,67
22,13,82,21,0
13,11,63,23,0
23,23,37,23,83
1,22,50,20,0
12,38,63,16,35
13,21,33,16,52
23,16,54,24,45
18,11,44,10,38
6,22,33,8,16
2,23,74,10,0
14,36,89,15,10
22,26,41,5,132
13,18,61,19,0
10,26,61,15,1
14,17,57,23,0
12,11,42,22,0
17,37,60,21,51
5,33,43,23,3
2,22,49,18,0
18,12,47,22,7
14,25,58,23,28
22,15,89,19,0
4,28,35,19,7
9,39,61,8,45
6,16,58,11,0
16,19,72,17,11
6,18,31,7,1
21,11,89,20,0
11,37,52,13,59
16,37,48,12,101
12,24,60,24,13
19,39,80,17,53
3,14,34,21,0
9,38,48,21,50
2,31,63,21,0
8,13,39,5,7
12,29,54,12,34
17,13,31,23,27
14,27,40,10,79
3,13,79,7,0
14,36,60,9,73
21,26,85,17,21
1,21,44,19,0
14,31,38,18,77
7,26,52,20,0
7,19,48,22,0
16,31,38,15,93
11,10,64,7,0
18,31,50,14,71
9,35,38,14,52
8,33,57,20,21
4,36,75,16,0
5,27,80,6,0
19,27,36,13,104
1,23,45,7,0
23,24,45,19,72
12,38,89,7,24
5,21,62,23,0
4,13,33,22,0
0,36,33,12,40
20,12,68,21,0
21,29,69,12,68
20,38,46,11,135
5,21,66,11,0
5,16,68,7,0
22,38,89,5,69
15,20,81,8,0
3,10,58,9,0
10,15,81,5,0
23,24,65,19,52
22,24,89,9,40
8,28,67,17,0
22,20,68,12,39
2,35,79,12,0
18,32,66,9,58
7,35,81,13,0
4,11,64,5,0
3,23,36,8,15
23,11,56,7,54
5,38,57,6,35
1,13,51,12,0
19,26,43,13,100
10,12,36,6,3
3,22,66,18,0
14,18,51,18,11
5,16,34,8,3
21,24,84,10,49
16,32,31,15,101
23,38,56,7,144
5,38,50,12,19
18,20,83,7,19
1,29,67,18,0
14,11,44,17,0
10,24,50,17,10
7,23,39,6,19
18,29,52,17,69
12,31,87,23,0
11,20,85,10,0
4,36,68,20,0
5,12,34,6,13
21,26,30,12,110
3,39,42,21,31
18,21,50,6,68
19,33,55,14,87
0,37,79,20,0
19,38,74,10,93
16,30,50,6,78
11,24,82,6,0
